"1623694267318247427 2023-02-09 14:44:14 +0000 <JargonVilla> SpaceX 33-Engine Static Fire of Booster 7  https://t.co/mmkLiF2qhQ via @YouTube
",jargonvilla spacex engine static fire of booster via,0,0,-0.34,negative
"1623992515421413376 2023-02-10 10:29:22 +0000 <666me0> @SpaceX €€3 f?y8oղ2րը իր ղսջժշոհպոիիեցփ խ80գ6ր3սչ3դըդչդչ3դչդեճկշ3տպ 3յձպ պպզտզտզվիձխձձձվխիիցի3խկցղփ3ցղպ ղպփ3պեյեյ եկ խճճված
",me €€ fyoղրը իր ղսջժշոհպոիիեցփ խգրսչդըդչդչդչդեճկշտպ յձպ պպզտզտզվիձխձձձվխիիցիխկցղփցղպ ղպփպեյեյ եկ խճճված,0,0,0.0,neutral
"1622956740080967680 2023-02-07 13:53:34 +0000 <SkippyReg24> @elonmusk @considercosmos @SpaceX You sure we’re humans at this point?
",skippyreg you sure we’re humans at this point,0,0,0.3182,positive
"1623712880733437952 2023-02-09 15:58:12 +0000 <highbrow_nobrow> 🚨NEW: The president of SpaceX revealed the company has taken active steps to prevent Ukrainian forces from using the critical Starlink satellite technology with Ukrainian drones that are a key component of their fight against Russia. @CNN    https://t.co/wVAqFH5nUh
",highbrownobrow 🚨new the president of spacex revealed the company has taken active steps to prevent ukrainian forces from using the critical starlink satellite technology with ukrainian drones that are a key component of their fight against russia,0,0,-0.2732,negative
"1623697158573641730 2023-02-09 14:55:44 +0000 <TalbottRicky> SpaceX 33-Engine Static Fire of Booster 7  https://t.co/PnhAQEkNOK via @YouTube
",talbottricky spacex engine static fire of booster via,0,0,-0.34,negative
"1622926511538900993 2023-02-07 11:53:27 +0000 <blluminations> @elonmusk @considercosmos @SpaceX Who were made by ‘God’! It’s all God, quite beautiful. 🚀
",blluminations who were made by ‘god’ it’s all god quite beautiful 🚀,0,0,0.7425,positive
"1623369399292858370 2023-02-08 17:13:20 +0000 <DailyReformerUS> SpaceX put Elon Musk’s Tesla into space five years ago. Where is it now?  https://t.co/QiMiNWLYn3
",dailyreformerus spacex put elon musk’s tesla into space five years ago where is it now,0,0,0.0,neutral
"1623641893539135488 2023-02-09 11:16:07 +0000 <JamesGavitt> @elonmusk @Rainmaker1973 @SpaceX ? ""Asked if @SpaceX had anticipated Starlink's use for offensive purposes in Ukraine when deciding to ship terminals into conflict zones, @Gwynne_Shotwell said: 'We didn't think about it. I didn't think about it. Our Starlink team may have, I don't know.""   https://t.co/ZpTuh7PtPO
",jamesgavitt asked if had anticipated starlinks use for offensive purposes in ukraine when deciding to ship terminals into conflict zones said we didnt think about it i didnt think about it our starlink team may have i dont know,0,0,-0.6486,negative
"1623706827778056194 2023-02-09 15:34:09 +0000 <Lord_Snoooty> Fury in Ukraine as Elon Musk’s SpaceX limits Starlink use for drones #Russianasset  https://t.co/yF71wK3bzH
",lordsnoooty fury in ukraine as elon musk’s spacex limits starlink use for drones russianasset,0,0,-0.5719,negative
"1623627384401395714 2023-02-09 10:18:28 +0000 <templars_law> TEMPLARS advised Elon Musk's SpaceX, the world’s leading satellite company, on the launch of Starlink in Nigeria.  Read more:  https://t.co/U935mLoMOX  https://t.co/7R8NcnBVtv
",templarslaw templars advised elon musks spacex the world’s leading satellite company on the launch of starlink in nigeria read more,0,0,0.0,neutral
